2021,10,22,5,0,0,0,0,0,1
2021,10,22,5,0,0,0,0,1,0
2021,10,22,5,0,0,0,1,0,0
2021,10,22,5,0,0,0,0.33,0.33,0.33
2021,10,22,5,0,0,0,0.5,0.5,0
2021,10,22,5,0,0,0,0,0.5,0.5
2021,10,22,5,0,0,0,0.5,0,0.5
2021,10,25,5,0,0,0,0,0,1
2021,10,25,5,0,0,0,0,1,0
2021,10,25,5,0,0,0,1,0,0
2021,10,25,5,0,0,0,0.33,0.33,0.33
2021,10,25,5,0,0,0,0.5,0.5,0
2021,10,25,5,0,0,0,0,0.5,0.5
2021,10,25,5,0,0,0,0.5,0,0.5
2021,10,26,5,0,0,0,0,0,1
2021,10,26,5,0,0,0,0,1,0
2021,10,26,5,0,0,0,1,0,0
2021,10,26,5,0,0,0,0.33,0.33,0.33
2021,10,26,5,0,0,0,0.5,0.5,0
2021,10,26,5,0,0,0,0,0.5,0.5
2021,10,26,5,0,0,0,0.5,0,0.5
2021,10,27,5,0,0,0,0,0,1
2021,10,27,5,0,0,0,0,1,0
2021,10,27,5,0,0,0,1,0,0
2021,10,27,5,0,0,0,0.33,0.33,0.33
2021,10,27,5,0,0,0,0.5,0.5,0
2021,10,27,5,0,0,0,0,0.5,0.5
2021,10,27,5,0,0,0,0.5,0,0.5
2021,10,28,5,0,0,0,0,0,1
2021,10,28,5,0,0,0,0,1,0
2021,10,28,5,0,0,0,1,0,0
2021,10,28,5,0,0,0,0.33,0.33,0.33
2021,10,28,5,0,0,0,0.5,0.5,0
2021,10,28,5,0,0,0,0,0.5,0.5
2021,10,28,5,0,0,0,0.5,0,0.5
2021,10,22,6,0,0,0,0,0,1
2021,10,22,6,0,0,0,0,1,0
2021,10,22,6,0,0,0,1,0,0
2021,10,22,6,0,0,0,0.33,0.33,0.33
2021,10,22,6,0,0,0,0.5,0.5,0
2021,10,22,6,0,0,0,0,0.5,0.5
2021,10,22,6,0,0,0,0.5,0,0.5
2021,10,25,6,0,0,0,0,0,1
2021,10,25,6,0,0,0,0,1,0
2021,10,25,6,0,0,0,1,0,0
2021,10,25,6,0,0,0,0.33,0.33,0.33
2021,10,25,6,0,0,0,0.5,0.5,0
2021,10,25,6,0,0,0,0,0.5,0.5
2021,10,25,6,0,0,0,0.5,0,0.5
2021,10,26,6,0,0,0,0,0,1
2021,10,26,6,0,0,0,0,1,0
2021,10,26,6,0,0,0,1,0,0
2021,10,26,6,0,0,0,0.33,0.33,0.33
2021,10,26,6,0,0,0,0.5,0.5,0
2021,10,26,6,0,0,0,0,0.5,0.5
2021,10,26,6,0,0,0,0.5,0,0.5
2021,10,27,6,0,0,0,0,0,1
2021,10,27,6,0,0,0,0,1,0
2021,10,27,6,0,0,0,1,0,0
2021,10,27,6,0,0,0,0.33,0.33,0.33
2021,10,27,6,0,0,0,0.5,0.5,0
2021,10,27,6,0,0,0,0,0.5,0.5
2021,10,27,6,0,0,0,0.5,0,0.5
2021,10,28,6,0,0,0,0,0,1
2021,10,28,6,0,0,0,0,1,0
2021,10,28,6,0,0,0,1,0,0
2021,10,28,6,0,0,0,0.33,0.33,0.33
2021,10,28,6,0,0,0,0.5,0.5,0
2021,10,28,6,0,0,0,0,0.5,0.5
2021,10,28,6,0,0,0,0.5,0,0.5
2021,10,22,7,0,0,0,0,0,1
2021,10,22,7,0,0,0,0,1,0
2021,10,22,7,0,0,0,1,0,0
2021,10,22,7,0,0,0,0.33,0.33,0.33
2021,10,22,7,0,0,0,0.5,0.5,0
2021,10,22,7,0,0,0,0,0.5,0.5
2021,10,22,7,0,0,0,0.5,0,0.5
2021,10,25,7,0,0,0,0,0,1
2021,10,25,7,0,0,0,0,1,0
2021,10,25,7,0,0,0,1,0,0
2021,10,25,7,0,0,0,0.33,0.33,0.33
2021,10,25,7,0,0,0,0.5,0.5,0
2021,10,25,7,0,0,0,0,0.5,0.5
